"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"Providence RI-MA 2010","Lrg","2010","1180","38","589","11871","10439","16.3","88.12","2.82","3.08","18053","20","36203","41","1.22","879","989"
"Providence RI-MA 2012","Lrg","2012","1180","38","598","11150","9980","17.14","89.56","3.6","3.96","18659","21","37419","42","1.22","863","971"
"Providence RI-MA 2013","Lrg","2013","1180","38","600","11135","10045","17.39","89.6","3.64","3.97","18782","21","37666","43","1.22","856","963"
"Providence RI-MA 2014","Lrg","2014","1180","40","605","11302","10286","17.67","94.04","3.44","3.65","18853","21","37809","43","1.22","846","951"
"Provo-Orem UT 2011","Med","2011","500","79","238","4031","3141","16.79","86.81","3.33","3.69","4903","13","7063","20","1.12","245","644"
"Provo-Orem UT 2010","Med","2010","485","79","230","3955","3082","16.3","88.12","2.8","3.07","4749","12","6841","20","1.12","245","643"
"Provo-Orem UT 2012","Med","2012","515","77","245","3870","3270","17.14","89.56","3.24","3.91","5261","14","7579","21","1.12","258","677"
"Provo-Orem UT 2013","Med","2013","530","76","253","3995","3204","17.39","89.6","3.61","3.89","5626","15","8104","21","1.13","271","713"
"Provo-Orem UT 2014","Med","2014","540","76","253","4143","3150","17.67","94.04","3.51","3.73","5677","15","8178","21","1.13","270","708"
"Raleigh NC 2011","Med","2011","920","50","473","12738","12427","16.79","86.81","3.32","3.64","8653","13","21852","33","1.19","502","730"
"Raleigh NC 2010","Med","2010","910","50","466","12493","12575","16.3","88.12","2.7","2.93","8603","13","21724","33","1.19","514","749"
"Raleigh NC 2012","Med","2012","935","49","482","12585","12765","17.14","89.56","3.49","3.89","8689","13","21941","33","1.18","493","718"
"Raleigh NC 2013","Med","2013","950","49","489","8486","9852","17.39","89.6","3.44","3.89","9120","13","23031","34","1.19","510","743"
"Raleigh NC 2014","Med","2014","965","48","487","8588","10138","17.67","94.04","3.2","3.58","9159","13","23128","34","1.19","504","734"
"Richmond VA 2011","Lrg","2011","975","46","499","11843","9982","16.79","86.81","3.29","3.6","10322","13","24944","33","1.13","562","733"
"Richmond VA 2010","Lrg","2010","970","46","494","11758","9910","16.3","88.12","2.63","2.88","10287","13","24860","33","1.13","577","754"
"Richmond VA 2012","Lrg","2012","985","45","505","11660","9875","17.14","89.56","3.39","3.78","10444","14","25239","33","1.13","557","727"
"Richmond VA 2013","Lrg","2013","995","45","510","11638","9578","17.39","89.6","3.37","3.77","10731","14","25934","34","1.13","564","736"
"Richmond VA 2014","Lrg","2014","1000","45","503","11719","9492","17.67","94.04","3.09","3.48","10802","14","26104","34","1.13","558","729"
"Riverside-San Bernardino CA 2010","Lrg","2010","1970","22","1038","21994","13827","16.3","88.12","3.05","3.2","28354","17","91391","57","1.49","2205","1318"
"Riverside-San Bernardino CA 2014","Lrg","2014","2020","22","1081","32679","17079","17.67","94.04","3.63","3.85","30732","18","99058","59","1.51","2201","1316"
"Rochester NY 2011","Med","2011","720","59","362","6302","6588","16.79","86.81","3.65","3.99","10352","20","20196","38","1.18","484","918"
"Rochester NY 2010","Med","2010","720","58","361","6294","6579","16.3","88.12","2.95","3.21","10338","20","20169","38","1.18","499","946"
"Rochester NY 2012","Med","2012","720","59","363","5815","6365","17.14","89.56","3.75","4.17","10428","20","20345","38","1.18","478","906"
"Rochester NY 2013","Med","2013","720","60","363","5832","6404","17.39","89.6","3.79","4.2","10504","20","20493","38","1.18","475","900"
"Rochester NY 2014","Med","2014","720","61","356","5978","6571","17.67","94.04","3.63","3.92","10550","20","20582","39","1.19","469","889"
"Sacramento CA 2011","Lrg","2011","1780","27","862","15556","14377","16.79","86.81","3.51","3.65","24926","18","57098","42","1.26","1332","956"
"Sacramento CA 2010","Lrg","2010","1770","29","852","15400","14233","16.3","88.12","3.05","3.2","24673","18","56519","42","1.26","1360","976"
"Sacramento CA 2012","Lrg","2012","1785","27","870","15170","14335","17.14","89.56","3.89","4.2","25534","18","58490","43","1.26","1336","959"
"Sacramento CA 2013","Lrg","2013","1800","27","884","15607","17199","17.39","89.6","3.89","4.12","26141","19","59881","43","1.26","1348","968"
"Sacramento CA 2014","Lrg","2014","1810","27","897","16200","17371","17.67","94.04","3.63","3.85","26289","19","60220","43","1.26","1334","958"
"Salem OR 2011","Sml","2011","245","97","122","1617","2049","16.79","86.81","3.56","3.91","4100","21","6698","35","1.17","177","888"
"Salem OR 2010","Sml","2010","245","96","122","1560","2032","16.3","88.12","2.86","3.1","4167","21","6807","35","1.17","186","931"
"Salem OR 2012","Sml","2012","250","96","125","1495","2010","17.14","89.56","3.67","4.06","4128","21","6744","34","1.17","175","876"
